MPN,Manufacturer,Description,Symbol,Footprint,Resistance,Voltage,Power,Tolerance,Temperature Coefficient,Type,RoHS,Mouser PN,JLCPCB Type,JLCPCB PN,Datasheet
0402WGF3902TCE,Uniroyal Electronics Industry,39k 1% 0402 General Thick Film Resistor,Device:R,Chip:RESC1005X40_NOMB,39k,50V,62.5mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0402WGF3902TCE,Preferred,C25783,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF3902T5E,Uniroyal Electronics Industry,39k 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,39k,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF3902T5E,Basic,C23153,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F3902T5E,Uniroyal Electronics Industry,39k 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,39k,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0805W8F3902T5E,Preferred,C25826,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF4022T5E,Uniroyal Electronics Industry,40.2k 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,40.2k,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF4022T5E,Preferred,C12447,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF4302T5E,Uniroyal Electronics Industry,43k 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,43k,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF4302T5E,Preferred,C23172,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F4302T5E,Uniroyal Electronics Industry,43k 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,43k,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0805W8F4302T5E,Preferred,C17695,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0402WGF4702TCE,Uniroyal Electronics Industry,47k 1% 0402 General Thick Film Resistor,Device:R,Chip:RESC1005X40_NOMB,47k,50V,62.5mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0402WGF4702TCE,Basic,C25792,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF4702T5E,Uniroyal Electronics Industry,47k 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,47k,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF4702T5E,Basic,C25819,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F4702T5E,Uniroyal Electronics Industry,47k 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,47k,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0805W8F4702T5E,Basic,C17713,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0402WGF4992TCE,Uniroyal Electronics Industry,49.9k 1% 0402 General Thick Film Resistor,Device:R,Chip:RESC1005X40_NOMB,49.9k,50V,62.5mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0402WGF4992TCE,Preferred,C25897,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF4992T5E,Uniroyal Electronics Industry,49.9k 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,49.9k,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF4992T5E,Basic,C23184,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
