MPN,Manufacturer,Description,Symbol,Footprint,Resistance,Voltage,Power,Tolerance,Temperature Coefficient,Type,RoHS,Mouser PN,JLCPCB Type,JLCPCB PN,Datasheet
0603WAF1000T5E,Uniroyal Electronics Industry,100R 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,100R,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF1000T5E,Basic,C22775,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F1000T5E,Uniroyal Electronics Industry,100R 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,100R,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0805W8F1000T5E,Basic,C17408,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
1206W4F1000T5E,Uniroyal Electronics Industry,100R 1% 1206 General Thick Film Resistor,Device:R,Chip:RESC3216X65_NOMB,100R,200V,250mW,±1%,±100ppm/°C,Thick Film,Compliant,303-1206W4F1000T5E,Basic,C17901,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0402WGF1200TCE,Uniroyal Electronics Industry,120R 1% 0402 General Thick Film Resistor,Device:R,Chip:RESC1005X40_NOMB,120R,50V,62.5mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0402WGF1200TCE,Basic,C25079,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF1200T5E,Uniroyal Electronics Industry,120R 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,120R,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF1200T5E,Basic,C22787,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F1200T5E,Uniroyal Electronics Industry,120R 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,120R,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0805W8F1200T5E,Basic,C17437,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
1206W4F1200T5E,Uniroyal Electronics Industry,120R 1% 1206 General Thick Film Resistor,Device:R,Chip:RESC3216X65_NOMB,120R,200V,250mW,±1%,±100ppm/°C,Thick Film,Compliant,303-1206W4F1200T5E,Basic,C17909,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0402WGF1500TCE,Uniroyal Electronics Industry,150R 1% 0402 General Thick Film Resistor,Device:R,Chip:RESC1005X40_NOMB,150R,50V,62.5mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0402WGF1500TCE,Preferred,C25082,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF1500T5E,Uniroyal Electronics Industry,150R 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,150R,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF1500T5E,Basic,C22808,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F1500T5E,Uniroyal Electronics Industry,150R 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,150R,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0805W8F1500T5E,Basic,C17471,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
1206W4F1800T5E,Uniroyal Electronics Industry,180R 1% 1206 General Thick Film Resistor,Device:R,Chip:RESC3216X65_NOMB,180R,200V,250mW,±1%,±100ppm/°C,Thick Film,Compliant,303-1206W4F1800T5E,Preferred,C17924,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF1800T5E,Uniroyal Electronics Industry,180R 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,180R,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF1800T5E,Preferred,C22828,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0402WGF2000TCE,Uniroyal Electronics Industry,200R 1% 0402 General Thick Film Resistor,Device:R,Chip:RESC1005X40_NOMB,200R,50V,62.5mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0402WGF2000TCE,Basic,C25087,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF2000T5E,Uniroyal Electronics Industry,200R 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,200R,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF2000T5E,Basic,C8218,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F2000T5E,Uniroyal Electronics Industry,200R 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,200R,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0805W8F2000T5E,Basic,C17540,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0402WGF2200TCE,Uniroyal Electronics Industry,220R 1% 0402 General Thick Film Resistor,Device:R,Chip:RESC1005X40_NOMB,220R,50V,62.5mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0402WGF2200TCE,Basic,C25091,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF2200T5E,Uniroyal Electronics Industry,220R 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,220R,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF2200T5E,Basic,C22962,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F2200T5E,Uniroyal Electronics Industry,220R 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,220R,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0805W8F2200T5E,Basic,C17557,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF2400T5E,Uniroyal Electronics Industry,240R 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,240R,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF2400T5E,Preferred,C23350,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F2400T5E,Uniroyal Electronics Industry,240R 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,240R,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0805W8F2400T5E,Preferred,C17572,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F2700T5E,Uniroyal Electronics Industry,270R 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,240R,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0805W8F2700T5E,Preferred,C17590,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF2700T5E,Uniroyal Electronics Industry,270R 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,270R,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF2700T5E,Basic,C22966,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0402WGF3000TCE,Uniroyal Electronics Industry,300R 1% 0402 General Thick Film Resistor,Device:R,Chip:RESC1005X40_NOMB,300R,50V,62.5mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0402WGF3000TCE,Preferred,C25102,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF3000T5E,Uniroyal Electronics Industry,300R 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,300R,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF3000T5E,Basic,C23025,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F3000T5E,Uniroyal Electronics Industry,300R 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,300R,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0805W8F3000T5E,Basic,C17617,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
1206W4F3000T5E,Uniroyal Electronics Industry,300R 1% 1206 General Thick Film Resistor,Device:R,Chip:RESC3216X65_NOMB,300R,200V,250mW,±1%,±100ppm/°C,Thick Film,Compliant,303-1206W4F3000T5E,Basic,C17887,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0402WGF3300TCE,Uniroyal Electronics Industry,330R 1% 0402 General Thick Film Resistor,Device:R,Chip:RESC1005X40_NOMB,330R,50V,62.5mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0402WGF3300TCE,Basic,C25104,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF3300T5E,Uniroyal Electronics Industry,330R 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,330R,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF3300T5E,Basic,C23138,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F3300T5E,Uniroyal Electronics Industry,330R 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,330R,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0805W8F3300T5E,Basic,C17630,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
